nohup: ignoring input
sync 1470 blocks, loaded 35.0%, ftell 12951951923, speed 11.0s/block
sync 1480 blocks, loaded 36.0%, ftell 13041507911, speed 11.0s/block
sync 1490 blocks, loaded 36.0%, ftell 13131100372, speed 11.0s/block
sync 1500 blocks, loaded 36.0%, ftell 13220613896, speed 11.0s/block
sync 1510 blocks, loaded 36.0%, ftell 13314379481, speed 11.0s/block
sync 1520 blocks, loaded 37.0%, ftell 13404200307, speed 11.0s/block
sync 1530 blocks, loaded 37.0%, ftell 13493648169, speed 11.0s/block
sync 1540 blocks, loaded 37.0%, ftell 13587799096, speed 11.0s/block
sync 1550 blocks, loaded 37.0%, ftell 13677706567, speed 11.0s/block
sync 1560 blocks, loaded 38.0%, ftell 13767525939, speed 11.0s/block
sync 1570 blocks, loaded 38.0%, ftell 13859646306, speed 11.0s/block
sync 1580 blocks, loaded 38.0%, ftell 13951339634, speed 11.0s/block
sync 1590 blocks, loaded 38.0%, ftell 14041417946, speed 11.0s/block
sync 1600 blocks, loaded 39.0%, ftell 14131207593, speed 11.0s/block
sync 1610 blocks, loaded 39.0%, ftell 14225476861, speed 11.0s/block
sync 1620 blocks, loaded 39.0%, ftell 14315348734, speed 11.0s/block
sync 1630 blocks, loaded 39.0%, ftell 14405092360, speed 11.0s/block
sync 1640 blocks, loaded 40.0%, ftell 14493290195, speed 11.0s/block
sync 1650 blocks, loaded 40.0%, ftell 14588572745, speed 11.0s/block
sync 1660 blocks, loaded 40.0%, ftell 14678540242, speed 11.0s/block
sync 1670 blocks, loaded 40.0%, ftell 14768204786, speed 11.0s/block
sync 1680 blocks, loaded 41.0%, ftell 14862271039, speed 11.0s/block
sync 1690 blocks, loaded 41.0%, ftell 14952048993, speed 11.0s/block
sync 1700 blocks, loaded 41.0%, ftell 15041805788, speed 11.0s/block
sync 1710 blocks, loaded 41.0%, ftell 15135872509, speed 11.0s/block
sync 1720 blocks, loaded 42.0%, ftell 15226493617, speed 11.0s/block
sync 1730 blocks, loaded 42.0%, ftell 15316413775, speed 11.0s/block
sync 1740 blocks, loaded 42.0%, ftell 15406056327, speed 11.0s/block
sync 1750 blocks, loaded 42.0%, ftell 15501346662, speed 11.0s/block
sync 1760 blocks, loaded 43.0%, ftell 15591508074, speed 11.0s/block
sync 1770 blocks, loaded 43.0%, ftell 15681158636, speed 11.0s/block
sync 1780 blocks, loaded 43.0%, ftell 15776317442, speed 11.0s/block
sync 1790 blocks, loaded 43.0%, ftell 15866346100, speed 11.0s/block
sync 1800 blocks, loaded 44.0%, ftell 15955903581, speed 11.0s/block
sync 1810 blocks, loaded 44.0%, ftell 16046001731, speed 11.0s/block
sync 1820 blocks, loaded 44.0%, ftell 16139713067, speed 11.0s/block
sync 1830 blocks, loaded 44.0%, ftell 16229777869, speed 11.0s/block
sync 1840 blocks, loaded 45.0%, ftell 16319815119, speed 11.0s/block
sync 1850 blocks, loaded 45.0%, ftell 16414914470, speed 11.0s/block
sync 1860 blocks, loaded 45.0%, ftell 16504392061, speed 11.0s/block
sync 1870 blocks, loaded 45.0%, ftell 16593998732, speed 11.0s/block
sync 1880 blocks, loaded 46.0%, ftell 16684170872, speed 11.0s/block
sync 1890 blocks, loaded 46.0%, ftell 16778711437, speed 11.0s/block
sync 1900 blocks, loaded 46.0%, ftell 16868191908, speed 11.0s/block
sync 1910 blocks, loaded 46.0%, ftell 16958433566, speed 11.0s/block
sync 1920 blocks, loaded 47.0%, ftell 17052372621, speed 11.0s/block
sync 1930 blocks, loaded 47.0%, ftell 17141605883, speed 11.0s/block
